Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,406218.9375,494074.125,0.1475563909774436,0.18018018018018017
2,644731.1875,455160.5,0.16447368421052633,0.21921921921921922
3,577721.5625,471607.34375,0.16729323308270677,0.2057057057057057
4,694321.4375,458265.8125,0.18562030075187969,0.2072072072072072
5,636689.5,430541.3125,0.19078947368421054,0.2042042042042042
6,576525.5625,391216.78125,0.20112781954887218,0.1981981981981982
7,687516.4375,360103.125,0.17904135338345864,0.20270270270270271
8,729060.6875,317461.09375,0.1950187969924812,0.1996996996996997
9,547001.8125,288301.53125,0.18280075187969924,0.1921921921921922
10,733572.375,258721.46875,0.19454887218045114,0.19519519519519518
11,408523.1875,235171.234375,0.20206766917293234,0.2012012012012012
12,591503.0,215802.46875,0.18515037593984962,0.18618618618618618
13,608815.5625,198978.546875,0.18843984962406016,0.1966966966966967
14,283680.40625,185286.515625,0.18937969924812031,0.2012012012012012
15,366249.6875,167851.28125,0.19971804511278196,0.22372372372372373
16,582128.0,151215.046875,0.19031954887218044,0.22072072072072071
17,546692.0625,127005.90625,0.20018796992481203,0.2132132132132132
18,693183.3125,112608.390625,0.19266917293233082,0.2147147147147147
19,242301.109375,104360.46875,0.21146616541353383,0.2147147147147147
20,361348.1875,98832.59375,0.18984962406015038,0.20270270270270271
21,247289.734375,94095.296875,0.19548872180451127,0.2132132132132132
22,407958.65625,90528.046875,0.20770676691729323,0.2132132132132132
23,144199.34375,88671.734375,0.20676691729323307,0.2147147147147147
24,259538.78125,86028.2265625,0.20112781954887218,0.21021021021021022
25,180925.71875,83303.4921875,0.20676691729323307,0.21021021021021022
26,333479.34375,78283.0234375,0.2100563909774436,0.21021021021021022
27,250151.40625,75243.578125,0.20488721804511278,0.21021021021021022
28,188378.34375,73791.65625,0.20723684210526316,0.21021021021021022
29,173367.484375,72882.375,0.20911654135338345,0.2087087087087087
30,159823.1875,72293.96875,0.20347744360902256,0.21021021021021022
31,111229.015625,70386.9921875,0.20817669172932332,0.21021021021021022
32,157687.71875,68575.8984375,0.21287593984962405,0.21021021021021022
33,118448.90625,66253.328125,0.20723684210526316,0.2087087087087087
34,281102.9375,63726.1015625,0.21475563909774437,0.2087087087087087
35,183469.84375,62057.421875,0.20535714285714285,0.21021021021021022
36,84086.875,61301.93359375,0.20864661654135339,0.21171171171171171
37,263288.71875,60670.11328125,0.20206766917293234,0.21021021021021022
38,137114.90625,60159.51953125,0.20065789473684212,0.2087087087087087
39,107692.1171875,59620.9765625,0.21428571428571427,0.21021021021021022
40,174060.25,58721.70703125,0.2100563909774436,0.21021021021021022
41,178306.453125,57767.36328125,0.20441729323308272,0.21021021021021022
42,157761.09375,57203.78515625,0.19924812030075187,0.21021021021021022
43,114742.28125,55945.33203125,0.21146616541353383,0.2087087087087087
44,107215.21875,54586.62890625,0.2025375939849624,0.21171171171171171
45,89332.921875,53256.86328125,0.20723684210526316,0.21021021021021022
46,90784.9140625,52228.33984375,0.20018796992481203,0.21021021021021022
47,87290.8671875,51302.01171875,0.20394736842105263,0.21021021021021022
48,63032.921875,50401.953125,0.19548872180451127,0.2087087087087087
49,83177.3125,49566.94140625,0.19736842105263158,0.21021021021021022
