Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,374067.125,1737230.375,0.14144736842105263,0.2042042042042042
2,8398240.0,2617430.75,0.2138157894736842,0.2132132132132132
3,47340372.0,1869983.625,0.20065789473684212,0.2042042042042042
4,19442852.0,1689407.75,0.20018796992481203,0.1966966966966967
5,7419834.0,2404100.0,0.20535714285714285,0.21771771771771772
6,8275119.0,1042715.5625,0.22039473684210525,0.2057057057057057
7,15433061.0,608206.5625,0.20112781954887218,0.21621621621621623
8,2506535.5,805132.3125,0.20911654135338345,0.2132132132132132
9,2723550.0,672892.375,0.22274436090225563,0.21921921921921922
10,4285268.0,433103.0625,0.20911654135338345,0.21771771771771772
11,2435329.5,335061.40625,0.21146616541353383,0.21921921921921922
12,4286769.5,823883.75,0.20770676691729323,0.22072072072072071
13,5052335.0,966919.875,0.206296992481203,0.22372372372372373
14,707834.3125,1143018.75,0.2274436090225564,0.22522522522522523
15,2635056.5,885606.0,0.22932330827067668,0.21921921921921922
16,2389115.5,96902.9296875,0.22556390977443608,0.21921921921921922
17,716955.1875,60456.05078125,0.23590225563909775,0.22372372372372373
18,1193778.875,57339.5078125,0.23214285714285715,0.23123123123123124
19,824293.5,55505.953125,0.24013157894736842,0.23423423423423423
20,1232922.25,54652.31640625,0.23214285714285715,0.22822822822822822
21,202116.53125,53487.7265625,0.231203007518797,0.23873873873873874
22,52935.8671875,52682.95703125,0.24013157894736842,0.22972972972972974
23,3954838.75,51766.046875,0.22979323308270677,0.23123123123123124
24,1999109.625,51764.984375,0.23026315789473684,0.21621621621621623
25,53518.625,51417.78515625,0.24436090225563908,0.2147147147147147
26,51448.453125,51078.53515625,0.24013157894736842,0.22072072072072071
27,7835131.0,50963.3984375,0.2523496240601504,0.21771771771771772
28,65722804.0,52075.953125,0.2462406015037594,0.21621621621621623
29,50635.4296875,171181.203125,0.25281954887218044,0.21771771771771772
30,1382427.625,49787.20703125,0.24718045112781956,0.22672672672672672
31,3041336.25,49482.96875,0.24295112781954886,0.23123123123123124
32,80195.4609375,49247.53515625,0.25,0.21771771771771772
33,131190.953125,48813.25390625,0.25469924812030076,0.21621621621621623
34,8988447.0,48980.8125,0.25469924812030076,0.22972972972972974
35,4331384.5,48277.12890625,0.26785714285714285,0.22072072072072071
36,47804.48046875,47808.01953125,0.26550751879699247,0.23273273273273273
37,370298.09375,47760.0234375,0.2650375939849624,0.22822822822822822
38,77132.609375,47707.578125,0.26550751879699247,0.2222222222222222
39,148658.3125,46836.69140625,0.25093984962406013,0.2222222222222222
40,53846.45703125,46653.99609375,0.2669172932330827,0.23723723723723725
41,46551.66796875,47177.15625,0.27208646616541354,0.23423423423423423
42,46622.1796875,46957.62890625,0.2730263157894737,0.24474474474474475
43,131936.703125,46566.45703125,0.28712406015037595,0.23873873873873874
44,46374.62109375,46812.53125,0.29135338345864664,0.23573573573573572
45,158636.125,46279.640625,0.2824248120300752,0.23873873873873874
46,45915.92578125,46122.69140625,0.27396616541353386,0.24024024024024024
47,304896.15625,46137.62890625,0.27725563909774437,0.23423423423423423
48,2962990.75,45836.50390625,0.2833646616541353,0.23723723723723725
49,45294.6484375,45632.31640625,0.2791353383458647,0.24024024024024024
50,45515.8359375,45675.046875,0.2974624060150376,0.24774774774774774
51,66549.234375,45676.48828125,0.31109022556390975,0.24324324324324326
52,45174.0703125,45456.19921875,0.30451127819548873,0.24624624624624625
53,237335.25,45349.78515625,0.28524436090225563,0.24924924924924924
54,82512.9765625,45024.89453125,0.3073308270676692,0.24174174174174173
55,150633.890625,45523.53515625,0.3068609022556391,0.23723723723723725
56,46863.27734375,44860.21875,0.31203007518796994,0.24174174174174173
57,44220.53125,44611.609375,0.31531954887218044,0.24324324324324326
58,1940088.0,44514.75390625,0.3106203007518797,0.25075075075075076
59,44442.59765625,44658.20703125,0.30216165413533835,0.24024024024024024
60,44435.6953125,44651.0546875,0.2984022556390977,0.24624624624624625
61,44109.15625,44248.48046875,0.30780075187969924,0.24774774774774774
62,102730.3359375,44092.234375,0.3101503759398496,0.24024024024024024
63,91938.078125,44176.92578125,0.31625939849624063,0.24024024024024024
64,168764.140625,44071.22265625,0.3167293233082707,0.25075075075075076
65,43716.73828125,44043.73828125,0.3167293233082707,0.24474474474474475
66,43580.47265625,43637.4453125,0.30874060150375937,0.24474474474474475
67,50824.3828125,43619.87109375,0.30639097744360905,0.24474474474474475
68,106358.390625,43839.890625,0.3082706766917293,0.24924924924924924
69,43491.78125,42997.55859375,0.2974624060150376,0.24474474474474475
70,43089.703125,42962.62890625,0.3223684210526316,0.25375375375375375
71,43037.09765625,43275.6875,0.31860902255639095,0.24024024024024024
72,43409.609375,42929.52734375,0.32800751879699247,0.24324324324324326
73,42486.4140625,42631.28125,0.3218984962406015,0.23723723723723725
74,214823.6875,42903.2109375,0.3383458646616541,0.24624624624624625
75,673000.25,42880.9296875,0.32894736842105265,0.23723723723723725
76,42633.375,42769.8125,0.32095864661654133,0.24474474474474475
77,42482.109375,42982.0078125,0.3265977443609023,0.23723723723723725
78,42544.2890625,42691.26171875,0.31954887218045114,0.24624624624624625
79,41965.43359375,42315.64453125,0.3350563909774436,0.25225225225225223
80,42253.93359375,42082.359375,0.3406954887218045,0.25225225225225223
81,57355.7421875,42341.01953125,0.3331766917293233,0.24924924924924924
82,41782.10546875,42157.7265625,0.32894736842105265,0.25675675675675674
83,492992.9375,42105.8828125,0.3256578947368421,0.26576576576576577
84,50351.453125,41678.55859375,0.34210526315789475,0.26426426426426425
85,41669.29296875,41865.328125,0.32283834586466165,0.2702702702702703
86,41627.5,41862.7734375,0.33458646616541354,0.2627627627627628
87,41846.23046875,41543.421875,0.337406015037594,0.2627627627627628
88,41270.2421875,41445.88671875,0.34351503759398494,0.26126126126126126
89,41284.9296875,41587.796875,0.33975563909774437,0.25375375375375375
90,40854.765625,41576.359375,0.33223684210526316,0.25675675675675674
91,46490.91015625,41404.78125,0.34398496240601506,0.25975975975975973
