Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
103,1558917.0,152761.03125,0.3810227272727273,0.3751363140676118
104,11208876.0,159588.765625,0.3835227272727273,0.3751363140676118
105,2867183.0,158802.125,0.38284090909090907,0.3751363140676118
106,3286737.5,162851.640625,0.38272727272727275,0.3751363140676118
107,5314913.5,168750.0,0.38284090909090907,0.3751363140676118
108,6686784.5,167733.125,0.3830681818181818,0.3751363140676118
109,2917868.25,164519.5625,0.3820454545454545,0.3751363140676118
110,4530174.0,158542.21875,0.3836363636363636,0.3751363140676118
111,678906.3125,154655.984375,0.38579545454545455,0.3751363140676118
112,1947655.0,147738.84375,0.3844318181818182,0.3751363140676118
113,2183584.75,141552.015625,0.3835227272727273,0.3751363140676118
114,8809458.0,133306.609375,0.3861363636363636,0.3751363140676118
115,1837671.375,123698.984375,0.3839772727272727,0.3751363140676118
116,3826897.5,115823.2890625,0.3860227272727273,0.3751363140676118
117,3496478.75,109914.984375,0.3875,0.3751363140676118
118,1887340.0,107137.4921875,0.38477272727272727,0.3751363140676118
119,3714453.0,102224.078125,0.3881818181818182,0.3751363140676118
120,7326737.5,101753.0625,0.38670454545454547,0.3751363140676118
121,2141276.0,100196.0078125,0.3865909090909091,0.3751363140676118
122,932790.8125,100648.9375,0.38727272727272727,0.3751363140676118
123,1962936.75,100996.015625,0.39045454545454544,0.3751363140676118
124,2581896.0,101094.4921875,0.38988636363636364,0.3751363140676118
125,3090262.75,101641.3046875,0.38920454545454547,0.3751363140676118
126,822149.6875,102228.71875,0.3901136363636364,0.3751363140676118
127,2295483.5,103788.25,0.39204545454545453,0.3751363140676118
128,4540985.5,105549.7265625,0.38920454545454547,0.3758633224282079
129,1560061.5,105605.1640625,0.3922727272727273,0.3758633224282079
130,3597503.5,107447.6640625,0.39625,0.376226826608506
131,1290950.75,108732.875,0.3930681818181818,0.3758633224282079
132,2882591.5,109836.6015625,0.39079545454545456,0.3758633224282079
133,1475883.75,109696.6796875,0.3921590909090909,0.376226826608506
134,2652190.25,112377.9375,0.3975,0.3769538349691021
135,4912236.0,113113.7421875,0.3955681818181818,0.376226826608506
136,1928690.25,113897.34375,0.3951136363636364,0.37659033078880405
137,4976897.5,116702.4453125,0.39693181818181816,0.3776808433296983
138,4506632.0,117190.8203125,0.39647727272727273,0.37731733914940024
139,4614182.0,117895.7578125,0.3978409090909091,0.37659033078880405
140,4428157.0,120069.4921875,0.39897727272727274,0.37731733914940024
