Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,334005.59375,415019.1875,0.18937969924812031,0.20270270270270271
2,555316.5625,418027.3125,0.19031954887218044,0.2012012012012012
3,522656.4375,451931.15625,0.18890977443609022,0.2012012012012012
4,840178.875,405101.84375,0.19971804511278196,0.20270270270270271
5,635350.0,392654.40625,0.18233082706766918,0.2072072072072072
6,671658.0625,399449.5625,0.17810150375939848,0.21021021021021022
7,662314.9375,378711.0,0.19830827067669174,0.19519519519519518
8,647008.0,350807.53125,0.20018796992481203,0.17867867867867868
9,952981.1875,294310.375,0.18843984962406016,0.18768768768768768
10,466052.8125,274821.84375,0.19078947368421054,0.19519519519519518
11,624288.5625,249784.34375,0.1875,0.1906906906906907
12,590596.0,221523.515625,0.1950187969924812,0.1891891891891892
13,450224.1875,185704.171875,0.19689849624060152,0.1966966966966967
14,594714.3125,157569.09375,0.19266917293233082,0.1966966966966967
15,531525.0,131036.3671875,0.1875,0.1996996996996997
16,606798.875,113089.7265625,0.18186090225563908,0.1981981981981982
17,384970.1875,106955.6875,0.1950187969924812,0.1891891891891892
18,515567.0625,103343.7109375,0.20441729323308272,0.1831831831831832
19,454820.15625,101487.703125,0.19830827067669174,0.1891891891891892
20,246589.4375,96604.6796875,0.20112781954887218,0.2072072072072072
21,491771.15625,88979.5,0.19454887218045114,0.22522522522522523
22,579652.5,84760.21875,0.2025375939849624,0.20270270270270271
23,301069.53125,81064.953125,0.19689849624060152,0.1921921921921922
24,217337.96875,77461.5546875,0.20676691729323307,0.2147147147147147
25,244264.6875,73868.203125,0.20911654135338345,0.21771771771771772
26,239697.359375,70991.34375,0.20206766917293234,0.2042042042042042
27,127170.4375,68570.09375,0.1875,0.2057057057057057
28,252889.609375,67402.2578125,0.20770676691729323,0.2057057057057057
29,381533.3125,66693.671875,0.20582706766917294,0.2072072072072072
30,127861.390625,67648.203125,0.20347744360902256,0.2087087087087087
31,209064.0,68987.65625,0.20065789473684212,0.2147147147147147
32,135681.4375,70098.8359375,0.21569548872180452,0.2072072072072072
33,156011.5625,69383.0,0.20864661654135339,0.2087087087087087
34,121567.9296875,67778.2265625,0.2100563909774436,0.2132132132132132
35,203235.78125,64751.37890625,0.20441729323308272,0.2132132132132132
36,130492.7265625,61493.953125,0.19548872180451127,0.2042042042042042
37,152126.265625,58654.08984375,0.19360902255639098,0.21771771771771772
38,187195.59375,56006.89453125,0.20018796992481203,0.21621621621621623
39,149298.984375,52473.93359375,0.20065789473684212,0.21171171171171171
40,202803.9375,49626.4765625,0.20394736842105263,0.21021021021021022
41,80578.984375,47700.77734375,0.2100563909774436,0.2087087087087087
42,116692.7265625,46354.66796875,0.19313909774436092,0.2132132132132132
43,77156.4296875,45157.6953125,0.21193609022556392,0.21921921921921922
44,93817.9765625,44159.42578125,0.2138157894736842,0.2147147147147147
45,69951.0859375,43514.62890625,0.2161654135338346,0.21771771771771772
46,119904.703125,42829.07421875,0.19407894736842105,0.21771771771771772
47,105949.4765625,42664.92578125,0.20817669172932332,0.2072072072072072
48,70731.03125,42568.91015625,0.21287593984962405,0.2057057057057057
49,64680.87890625,42496.9453125,0.2025375939849624,0.21171171171171171
50,104134.4375,42523.546875,0.20394736842105263,0.21771771771771772
51,145534.890625,42395.421875,0.20488721804511278,0.21621621621621623
52,70935.8984375,42367.515625,0.20535714285714285,0.21771771771771772
53,100485.8671875,42507.4296875,0.21334586466165414,0.22522522522522523
54,81783.9296875,42024.953125,0.20441729323308272,0.22072072072072071
55,62679.671875,41490.375,0.2025375939849624,0.22672672672672672
56,60875.4765625,40944.66015625,0.21287593984962405,0.2132132132132132
57,75392.140625,40413.18359375,0.21099624060150377,0.22672672672672672
58,111362.3046875,39454.71484375,0.21804511278195488,0.22972972972972974
59,64879.18359375,38597.796875,0.20864661654135339,0.22822822822822822
60,69153.3671875,37853.05859375,0.22039473684210525,0.22372372372372373
61,63972.30859375,36992.90234375,0.20347744360902256,0.21921921921921922
62,65366.5390625,36481.06640625,0.20535714285714285,0.22522522522522523
63,48177.44140625,35817.390625,0.21099624060150377,0.22822822822822822
64,74437.09375,35254.61328125,0.21475563909774437,0.22072072072072071
65,77661.140625,34682.828125,0.21193609022556392,0.21921921921921922
66,50421.1953125,34242.03515625,0.206296992481203,0.22072072072072071
67,53348.6640625,33880.10546875,0.20535714285714285,0.2222222222222222
68,48510.29296875,33432.37109375,0.21569548872180452,0.2147147147147147
69,79868.75,33087.12109375,0.19971804511278196,0.21621621621621623
70,60328.953125,32682.927734375,0.20958646616541354,0.2147147147147147
71,40231.58984375,32311.708984375,0.22415413533834586,0.2147147147147147
72,44777.2109375,31976.349609375,0.206296992481203,0.2132132132132132
73,49915.0703125,31632.45703125,0.21428571428571427,0.21171171171171171
74,42886.33984375,31320.56640625,0.20676691729323307,0.21021021021021022
75,45712.58984375,31058.89453125,0.20864661654135339,0.2147147147147147
76,45113.83984375,30728.150390625,0.20864661654135339,0.2132132132132132
77,53642.50390625,30466.25390625,0.20582706766917294,0.21171171171171171
78,43666.1171875,30205.19921875,0.21193609022556392,0.2132132132132132
79,51344.1328125,29818.880859375,0.20958646616541354,0.2132132132132132
80,36999.88671875,29590.91015625,0.20394736842105263,0.2132132132132132
81,40792.73046875,29251.45703125,0.21945488721804512,0.2087087087087087
82,61330.75390625,28989.587890625,0.21475563909774437,0.21171171171171171
83,43084.87890625,28674.37890625,0.21475563909774437,0.2132132132132132
84,44062.58203125,28365.26171875,0.21710526315789475,0.21021021021021022
85,35181.0,28056.587890625,0.21193609022556392,0.2147147147147147
86,35523.12109375,27751.14453125,0.2199248120300752,0.2132132132132132
87,37167.91796875,27490.974609375,0.21663533834586465,0.2147147147147147
88,36941.7109375,27148.26953125,0.20488721804511278,0.2147147147147147
89,33979.6171875,26927.76171875,0.21475563909774437,0.21171171171171171
90,42268.921875,26671.25390625,0.21475563909774437,0.21171171171171171
91,39920.48828125,26329.021484375,0.20676691729323307,0.2132132132132132
92,41103.56640625,26118.845703125,0.21146616541353383,0.21021021021021022
93,35258.83203125,25814.60546875,0.20817669172932332,0.21021021021021022
94,43181.61328125,25598.427734375,0.21663533834586465,0.2132132132132132
95,36207.19140625,25370.16015625,0.20488721804511278,0.2132132132132132
96,30847.98046875,25097.51171875,0.20723684210526316,0.21021021021021022
97,39482.48828125,24904.380859375,0.21052631578947367,0.2147147147147147
98,36240.94140625,24667.2890625,0.2138157894736842,0.2087087087087087
99,35683.48828125,24404.19140625,0.19924812030075187,0.21171171171171171
100,39400.44140625,24162.958984375,0.20817669172932332,0.21171171171171171
101,34947.14453125,23912.474609375,0.2175751879699248,0.21021021021021022
