Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,366748.875,422093.8125,0.18515037593984962,0.1981981981981982
2,466880.59375,439473.1875,0.19078947368421054,0.1981981981981982
3,615696.875,414120.03125,0.19783834586466165,0.1981981981981982
4,681937.75,351938.8125,0.18327067669172933,0.1981981981981982
5,518939.5625,344266.96875,0.18984962406015038,0.1996996996996997
6,733340.0,332652.6875,0.20770676691729323,0.1966966966966967
7,763412.8125,330708.71875,0.19454887218045114,0.1981981981981982
8,1327356.625,303538.0,0.19689849624060152,0.21171171171171171
9,1295707.75,278831.34375,0.19360902255639098,0.18618618618618618
10,591056.0625,250170.8125,0.1875,0.2042042042042042
11,748467.0625,217610.109375,0.19642857142857142,0.2087087087087087
12,612592.9375,196808.65625,0.20582706766917294,0.1996996996996997
13,398598.5625,175606.859375,0.20018796992481203,0.1921921921921922
14,435084.65625,157428.40625,0.20206766917293234,0.19519519519519518
15,580939.75,140563.96875,0.212406015037594,0.1996996996996997
16,302816.46875,133166.625,0.20300751879699247,0.1816816816816817
17,428868.90625,127963.75,0.18937969924812031,0.19519519519519518
18,276603.09375,123056.515625,0.18656015037593984,0.2147147147147147
19,239079.5625,120110.8671875,0.19266917293233082,0.21171171171171171
20,456923.15625,113850.640625,0.206296992481203,0.2132132132132132
21,463551.09375,101059.78125,0.18843984962406016,0.22522522522522523
22,289286.15625,97472.453125,0.20535714285714285,0.2132132132132132
23,431755.15625,91385.15625,0.20535714285714285,0.19519519519519518
24,142714.671875,86251.3984375,0.20676691729323307,0.21021021021021022
25,154050.40625,81037.5,0.21052631578947367,0.21171171171171171
26,120265.453125,74487.3828125,0.20488721804511278,0.21171171171171171
27,248290.46875,68190.265625,0.19172932330827067,0.2042042042042042
28,218258.515625,63144.0078125,0.20018796992481203,0.21621621621621623
29,318584.5625,57659.69140625,0.21663533834586465,0.2147147147147147
30,212376.84375,51851.63671875,0.18937969924812031,0.2057057057057057
31,154667.984375,47622.05859375,0.1987781954887218,0.21021021021021022
32,150146.40625,45052.3828125,0.20441729323308272,0.2087087087087087
33,154405.328125,43909.79296875,0.20676691729323307,0.1981981981981982
34,152987.328125,42984.6796875,0.20582706766917294,0.2147147147147147
35,88417.578125,43077.97265625,0.2161654135338346,0.21621621621621623
36,77493.5859375,41885.59375,0.21428571428571427,0.21021021021021022
37,146909.953125,39730.76953125,0.22321428571428573,0.19369369369369369
38,97266.4375,37806.046875,0.19219924812030076,0.2087087087087087
39,87699.8515625,36110.01953125,0.21428571428571427,0.22072072072072071
40,99163.875,34512.69921875,0.20676691729323307,0.2072072072072072
41,149011.375,33290.6171875,0.20535714285714285,0.2042042042042042
42,82979.9765625,32195.40625,0.21898496240601503,0.2132132132132132
43,133033.953125,31217.34765625,0.22321428571428573,0.2222222222222222
44,157995.421875,30368.39453125,0.21663533834586465,0.2072072072072072
45,172466.46875,29463.70703125,0.19219924812030076,0.21771771771771772
46,58894.77734375,28725.06640625,0.1987781954887218,0.21921921921921922
47,56484.21484375,27957.796875,0.21099624060150377,0.21021021021021022
48,38842.4609375,27314.76171875,0.21146616541353383,0.22072072072072071
49,102918.203125,26691.599609375,0.21475563909774437,0.21771771771771772
50,63963.00390625,26186.70703125,0.21287593984962405,0.21171171171171171
51,57502.83984375,25640.51953125,0.20159774436090225,0.22072072072072071
52,56919.02734375,25029.44921875,0.21898496240601503,0.21621621621621623
53,54512.34765625,24550.15625,0.21099624060150377,0.2147147147147147
54,38143.1640625,24037.275390625,0.20723684210526316,0.2147147147147147
55,48266.515625,23596.19921875,0.21522556390977443,0.21621621621621623
56,77898.7890625,23151.26171875,0.20864661654135339,0.22672672672672672
57,41192.45703125,22740.318359375,0.2138157894736842,0.22072072072072071
58,55777.46484375,22316.95703125,0.21146616541353383,0.21021021021021022
59,57263.55859375,21895.337890625,0.21428571428571427,0.2147147147147147
60,43421.05078125,21586.580078125,0.2199248120300752,0.22072072072072071
61,85404.40625,21199.41796875,0.22462406015037595,0.22372372372372373
62,43795.8125,20832.615234375,0.225093984962406,0.21621621621621623
63,56825.4140625,20414.62890625,0.2175751879699248,0.2072072072072072
64,48012.89453125,20137.576171875,0.2213345864661654,0.22672672672672672
65,40732.46484375,19751.6796875,0.2175751879699248,0.22072072072072071
